iter	F1	Logloss
375	0.9833458578	0.1308512853
376	0.9833494886	0.1308348408
377	0.983351304	0.1308288635
378	0.9833567502	0.1307836549
379	0.9833658274	0.1307597597
380	0.9833676429	0.1307060342
381	0.9833694584	0.1306854504
382	0.9833767203	0.1306662276
383	0.983389429	0.1306331279
384	0.9833912445	0.1305916937
385	0.9833948757	0.1305686264
386	0.9834130317	0.1305269677
387	0.983416663	0.1305129786
388	0.9834148473	0.1305048826
389	0.983416663	0.1304256062
390	0.983427557	0.1303814499
391	0.9834366355	0.1303559973
392	0.9834457142	0.1303226732
393	0.9834511615	0.1302975432
394	0.9834529773	0.1302832314
395	0.9834638721	0.1302449121
396	0.9834656879	0.1302006717
397	0.9834693196	0.1301656077
398	0.9834747671	0.1301268394
399	0.9834874783	0.1300900075
400	0.9835020058	0.1300570622
401	0.9835056377	0.1300471842
402	0.9835038218	0.130003042
403	0.9835129017	0.1299631933
404	0.9835147177	0.1299278346
405	0.983521723	0.1298825559
406	0.983525355	0.1298350602
407	0.9835326192	0.1298087938
408	0.9835344352	0.1297909881
409	0.9835435155	0.1297640622
410	0.9835453316	0.1297380343
411	0.9835435155	0.1297283668
412	0.9835453316	0.1297202848
413	0.9835544122	0.1296915349
414	0.9835544122	0.1296770827
415	0.9835544122	0.1296553343
416	0.9835580444	0.1296291941
417	0.983565309	0.1295985219
418	0.9835616767	0.1295790887
419	0.983565309	0.1295558249
420	0.9835689414	0.1295259244
421	0.9835725738	0.1295108548
422	0.9835832111	0.1294572135
423	0.9835813949	0.1294308769
424	0.9835886597	0.1294201009
425	0.9835959247	0.1294020988
426	0.9836068223	0.1293760709
427	0.9836086386	0.1293564553
428	0.9836104549	0.1293436448
429	0.9836159038	0.1293039785
430	0.9836177201	0.1292792275
431	0.9836213528	0.1292315073
432	0.9836249855	0.1292104183
433	0.9836195364	0.1291835766
434	0.9836231691	0.1291635541
435	0.9836213528	0.129136993
436	0.9836249855	0.1291055209
437	0.9836340673	0.1290537878
438	0.9836413329	0.1290308047
439	0.9836431493	0.1290137848
440	0.9836485986	0.1289792259
441	0.9836594974	0.1289583054
442	0.9836631304	0.1289312111
443	0.9836685799	0.1288953192
444	0.9836703964	0.1288760544
445	0.9836740294	0.1288584031
446	0.9836776625	0.1288418743
447	0.9836740294	0.1288188491
448	0.983675846	0.1287826626
449	0.9836794791	0.1287515834
450	0.9836958283	0.1287055751
451	0.9836940117	0.1286799681
452	0.9837030948	0.1286656422
453	0.9837139948	0.1286392635
454	0.983724895	0.1285870954
455	0.9837285285	0.1285514842
456	0.983732162	0.1285320089
457	0.9837357955	0.1284943631
458	0.9837448794	0.128443093
459	0.9837466962	0.1284129961
460	0.983748513	0.1284001855
461	0.9837466962	0.128375224
462	0.9837503298	0.128360393
463	0.9837521466	0.1283346177
464	0.9837539634	0.1283066534
465	0.9837557803	0.1282840912
466	0.983773949	0.1282355432
467	0.9837848505	0.1281931689
